色の全体構造,色は大きく「無彩色」と「有彩色」に分けられる。有彩色を理解する基本が「明度・彩度・色相」の三要素。
色の分類,色は2種類に分けられる。白・灰色・黒などの「無彩色」と、それ以外の「有彩色」。
無彩色,白・灰色・黒など、色みのない色。
有彩色,無彩色以外の、色の三要素を持つ色。
色の三要素,色を考える基本要素。明度・彩度・色相の3つ。
明度,明るさの度合い。
明度の高い色,白を混ぜたような明るい色。軽く感じる。
明度の低い色,黒を混ぜたような暗い色。重く感じる。
白,すべての色の中で、明度がもっとも高い色。明るい。
黒,すべての色の中で、明度がもっとも低い色。暗い。
明度対比,同じ明度の色でも、背景によって明るさの感じ方が変わること。
明度対比：暗い背景,同じ明度の色でも、暗い背景では明るく感じる。
明度対比：明るい背景,同じ明度の色でも、明るい背景では暗く感じる。
彩度,色の鮮やかさの度合い。
彩度がもっとも高い色,何も混ぜていない原色がもっとも鮮やか。
原色,何も混ぜていない色。彩度がもっとも高い。
彩度対比,同じ彩度の色でも、背景の彩度によって鮮やかさの感じ方が変わること。
彩度対比：背景の彩度が低い場合,同じ彩度の色でも、背景の彩度が低ければ彩度が高く感じる。
彩度対比：背景の彩度が高い場合,同じ彩度の色でも、背景の彩度が高ければ彩度が低く感じる。
色相,赤・青などの有彩色の色み。
色相環,色を、色相の近い順番に並べたもの。
補色,色相環で向かい合った位置にある色相。
補色の効果,補色どうしを並べると、お互いの色が引き立つ。
色相まわりの重要語,色相・色相環・補色。色みの違いや、色どうしの関係を考えるための語。
背景で変わる見え方,明度対比と彩度対比がある。同じ色でも、背景によって明るさや鮮やかさの感じ方が変わる。
配色の工夫：基礎,同一色相の配色・対照色相の配色・補色色相の配色の3つ。
同一色相の配色,同じ色みを持った色どうしの配色。
同一色相の配色の特徴,まとまりを感じる。イメージを伝えやすい。
対照色相の配色,色相環で、中程度に離れた色どうしの配色。
対照色相の配色の特徴,相互に引き立てあい、強さを感じる。
補色色相の配色,補色の効果を使った配色。
補色色相の配色の特徴,反対色の対比で、激しく、強く感じる。
配色の3類型の比較,同一色相は「まとまり」、対照色相は「引き立て合い・強さ」、補色色相は「激しさ・強さ」。
まとまりを出したい配色,同一色相の配色。同じ色みを持つ色どうしなので、まとまりを感じやすい。
強さを出したい配色,対照色相の配色。色相環で中程度に離れた色を使い、相互に引き立てる。
激しさを出したい配色,補色色相の配色。補色の効果により、反対色の対比で激しく強く感じる。
色の持つイメージ,進出色・後退色、明度による軽さと重さ、暖色・寒色などがある。
進出色,赤や黄色など、実際よりも飛び出したように感じる色。
後退色,青色など、実際よりも引っ込んだように感じる色。
進出色と後退色,進出色は飛び出して見える色。後退色は引っ込んで見える色。
赤や黄色,進出色の例。また、暖かく感じる暖色の例でもある。
青色,後退色の例。また、冷たく感じる寒色の例でもある。
明度と重さのイメージ,明度の高い色は軽く感じ、明度の低い色は重く感じる。
白を混ぜた色のイメージ,明度が高くなり、軽く感じる。
黒を混ぜた色のイメージ,明度が低くなり、重く感じる。
暖色,赤や黄色など、暖かく感じる色。
寒色,青色など、冷たく感じる色。
暖色と寒色,暖色は暖かく感じる色。寒色は冷たく感じる色。
配色の工夫：応用編,アクセントとセパレーションがある。
アクセント,同一配色の中に、強調する色を入れること。
アクセントの特徴,単調な表現を防ぐ。色の差を利用して、伝えたい部分を強調できる。
セパレーション,色と色の間を区切り、わかりやすくすること。
アクセントとセパレーションの違い,アクセントは強調する色を入れる工夫。セパレーションは色と色の間を区切る工夫。
配色の工夫：全体,基礎は同一色相・対照色相・補色色相。応用はアクセント・セパレーション。
絵の具の使い方,きれいに仕上げるためのポイントは、濃さ・乾燥・筆の使い分け・塗る順番・塗る方向・片付け。
絵の具の濃さ,焼き肉のタレくらいの濃さ。ドロリとした感じ。
隣り合った色を塗るとき,隣り合った色は、よく乾いてから塗る。
筆の使い分け,細い部分は細い筆、広い部分は平たい筆など、場所に合わせて筆を使い分ける。
塗る順番,ふちを先に塗ってから、内部を塗る。
塗る方向,一定方向に塗る。
片付けの時の筆,筆はよく洗って、色を残さない。
絵の具の仕上げで失敗しないコツ,濃さはドロリ、隣色は乾いてから、筆を使い分け、ふちから塗り、一定方向に塗り、最後に筆をよく洗う。
